,fieldID,ID,Coord,ESCA,BlackLeaf,Humidity
0,Field 1 - white_grape,000000,"(51.005460362926705, 0.5434411306019757)",0.75,0.51,0.66
1,Field 1 - white_grape,000001,"(51.00535185298633, 0.5433143656756841)",0.82,0.82,0.87
2,Field 1 - white_grape,000002,"(51.00544210794078, 0.5436764054686392)",0.53,0.24,0.43
3,Field 1 - white_grape,000003,"(51.00533359800041, 0.5435496405423474)",0.25,0.72,0.12
4,Field 1 - white_grape,000004,"(51.00522508806004, 0.5434228756160558)",0.99,0.47,0.58
5,Field 1 - white_grape,000005,"(51.00553236289523, 0.5440384452615941)",0.39,0.13,0.67
6,Field 1 - white_grape,000006,"(51.00542385295486, 0.5439116803353023)",0.83,0.03,0.42
7,Field 1 - white_grape,000007,"(51.00531534301449, 0.5437849154090109)",0.24,0.96,0.24
8,Field 1 - white_grape,000008,"(51.00520683307412, 0.5436581504827191)",0.67,0.36,0.28
9,Field 1 - white_grape,000009,"(51.005098323133744, 0.5435313855564275)",0.4,0.36,0.98
10,Field 1 - white_grape,00000A,"(51.00551410790931, 0.5442737201282575)",0.46,0.32,0.21
11,Field 1 - white_grape,00000B,"(51.00540559796894, 0.5441469552019659)",0.46,0.5,0.41
12,Field 1 - white_grape,00000C,"(51.00529708802857, 0.5440201902756742)",0.12,0.18,0.36
13,Field 1 - white_grape,00000D,"(51.005188578088195, 0.5438934253493827)",0.08,0.42,0.6
14,Field 1 - white_grape,00000E,"(51.00508006814783, 0.543766660423091)",0.14,0.7,0.96
15,Field 1 - white_grape,00000F,"(51.00497155820745, 0.5436398954967994)",0.0,0.24,0.62
16,Field 1 - white_grape,000010,"(51.004863048267076, 0.5435131305705078)",0.03,0.23,0.31
17,Field 1 - white_grape,000011,"(51.005495852923396, 0.5445089949949208)",0.15,0.14,0.21
18,Field 1 - white_grape,000012,"(51.00538734298303, 0.5443822300686292)",0.15,0.94,0.02
19,Field 1 - white_grape,000013,"(51.00527883304265, 0.5442554651423376)",0.1,0.85,0.58
20,Field 1 - white_grape,000014,"(51.005170323102284, 0.5441287002160459)",0.59,0.6,0.3
21,Field 1 - white_grape,000015,"(51.00506181316191, 0.5440019352897544)",0.97,0.26,0.12
22,Field 1 - white_grape,000016,"(51.00495330322154, 0.5438751703634627)",0.02,0.14,0.22
23,Field 1 - white_grape,000017,"(51.004844793281165, 0.5437484054371711)",0.06,0.0,0.64
24,Field 1 - white_grape,000018,"(51.00473628334079, 0.5436216405108795)",0.38,0.78,0.73
25,Field 1 - white_grape,000019,"(51.00547759793748, 0.5447442698615842)",0.39,0.58,0.58
26,Field 1 - white_grape,00001A,"(51.0053690879971, 0.5446175049352925)",0.01,0.09,0.13
