,fieldID,ID,Coord,ESCA,BlackLeaf,Humidity
0,Field1 - white_grape,000000,"(51.04841497644026, 0.7994881571214972)",0.96,0.91,0.43
1,Field1 - white_grape,000001,"(51.04837829311981, 0.7999609410155092)",0.43,0.83,0.1
2,Field1 - white_grape,000002,"(51.04816024283303, 0.7997062074082778)",0.45,0.75,0.64
3,Field1 - white_grape,000003,"(51.04794219254625, 0.7994514738010463)",0.37,0.11,0.04
4,Field1 - white_grape,000004,"(51.04812355951258, 0.8001789913022898)",0.92,0.77,0.52
5,Field1 - white_grape,000005,"(51.0479055092258, 0.7999242576950584)",0.97,0.32,0.32
6,Field1 - white_grape,000006,"(51.04768745893902, 0.7996695240878269)",0.9,0.13,0.0
7,Field1 - white_grape,000007,"(51.049831278486366, 0.8026896440541531)",0.2,0.36,0.77
8,Field1 - white_grape,000008,"(51.048304926478906, 0.8009065088035331)",0.78,0.63,0.86
9,Field1 - white_grape,000009,"(51.04808687619212, 0.8006517751963016)",0.55,0.15,0.85
10,Field1 - white_grape,00000A,"(51.04786882590535, 0.8003970415890702)",0.88,0.3,0.33
11,Field1 - white_grape,00000B,"(51.047650775618564, 0.8001423079818388)",0.53,0.58,0.46
12,Field1 - white_grape,00000C,"(51.04743272533179, 0.7998875743746073)",0.35,0.55,0.45
13,Field1 - white_grape,00000D,"(51.05001264545269, 0.8034171615553966)",0.07,0.67,0.36
14,Field1 - white_grape,00000E,"(51.049794595165906, 0.8031624279481652)",0.7,0.65,0.3
15,Field1 - white_grape,00000F,"(51.04957654487913, 0.8029076943409337)",0.18,0.98,0.58
16,Field1 - white_grape,000010,"(51.049140444305564, 0.8023982271264708)",0.1,0.37,0.05
17,Field1 - white_grape,000011,"(51.04892239401879, 0.8021434935192394)",0.4,0.12,0.1
18,Field1 - white_grape,000012,"(51.048704343732005, 0.8018887599120079)",0.03,0.17,1.0
19,Field1 - white_grape,000013,"(51.04848629344523, 0.8016340263047765)",0.9,0.48,0.73
20,Field1 - white_grape,000014,"(51.04826824315845, 0.801379292697545)",0.6,0.04,0.7
21,Field1 - white_grape,000015,"(51.04805019287167, 0.8011245590903137)",0.41,0.02,0.69
22,Field1 - white_grape,000016,"(51.04783214258489, 0.8008698254830822)",0.36,0.89,0.23
23,Field1 - white_grape,000017,"(51.04761409229811, 0.8006150918758508)",0.05,0.56,0.17
24,Field1 - white_grape,000018,"(51.05019401241902, 0.80414467905664)",0.53,0.74,0.9
25,Field1 - white_grape,000019,"(51.04997596213224, 0.8038899454494086)",0.98,0.01,0.69
26,Field1 - white_grape,00001A,"(51.04975791184546, 0.8036352118421771)",0.31,0.63,0.26
27,Field1 - white_grape,00001B,"(51.04953986155868, 0.8033804782349457)",0.87,0.98,0.35
28,Field1 - white_grape,00001C,"(51.0493218112719, 0.8031257446277142)",0.91,0.56,0.55
29,Field1 - white_grape,00001D,"(51.04910376098512, 0.8028710110204829)",0.13,0.98,0.24
30,Field1 - white_grape,00001E,"(51.048885710698336, 0.8026162774132514)",0.93,0.89,0.57
31,Field1 - white_grape,00001F,"(51.04866766041156, 0.80236154380602)",0.62,0.4,0.09
32,Field1 - white_grape,000020,"(51.04844961012478, 0.8021068101987885)",0.58,0.42,0.04
33,Field1 - white_grape,000021,"(51.048231559838, 0.8018520765915571)",0.7,0.24,0.25
34,Field1 - white_grape,000022,"(51.04801350955122, 0.8015973429843256)",0.66,0.76,0.21
35,Field1 - white_grape,000023,"(51.04779545926444, 0.8013426093770942)",0.12,0.65,0.59
36,Field1 - white_grape,000024,"(51.04757740897766, 0.8010878757698627)",0.05,0.85,0.68
37,Field1 - white_grape,000025,"(51.05037537938535, 0.8048721965578788)",0.92,0.25,0.38
38,Field1 - white_grape,000026,"(51.05015732909857, 0.8046174629506473)",0.52,0.22,0.59
39,Field1 - white_grape,000027,"(51.04993927881179, 0.8043627293434159)",0.82,0.15,0.69
40,Field1 - white_grape,000028,"(51.04972122852501, 0.8041079957361845)",0.27,0.52,0.16
41,Field1 - white_grape,000029,"(51.04950317823823, 0.803853262128953)",0.37,0.72,0.16
42,Field1 - white_grape,00002A,"(51.04928512795145, 0.8035985285217216)",0.49,0.11,0.72
43,Field1 - white_grape,00002B,"(51.049067077664674, 0.8033437949144902)",0.24,0.56,0.02
44,Field1 - white_grape,00002C,"(51.04884902737789, 0.8030890613072588)",0.83,0.77,0.8
45,Field1 - white_grape,00002D,"(51.04863097709111, 0.8028343277000273)",0.84,0.43,0.84
46,Field1 - white_grape,00002E,"(51.04841292680433, 0.8025795940927959)",0.37,0.12,0.21
47,Field1 - white_grape,00002F,"(51.04819487651755, 0.8023248604855644)",0.62,0.08,0.1
48,Field1 - white_grape,000030,"(51.04797682623077, 0.802070126878333)",0.66,0.96,0.2
49,Field1 - white_grape,000031,"(51.04775877594399, 0.8018153932711015)",0.04,0.68,0.06
50,Field1 - white_grape,000032,"(51.047540725657214, 0.8015606596638701)",0.09,0.34,0.0
51,Field1 - white_grape,000033,"(51.05033869606489, 0.8053449804518908)",0.1,0.4,0.89
52,Field1 - white_grape,000034,"(51.050120645778115, 0.8050902468446594)",0.98,0.65,0.89
53,Field1 - white_grape,000035,"(51.04990259549133, 0.8048355132374279)",1.0,0.39,0.28
54,Field1 - white_grape,000036,"(51.049684545204556, 0.8045807796301965)",0.47,0.53,0.05
55,Field1 - white_grape,000037,"(51.04946649491777, 0.8043260460229651)",0.7,0.46,0.31
56,Field1 - white_grape,000038,"(51.049248444631, 0.8040713124157336)",0.93,0.34,0.82
57,Field1 - white_grape,000039,"(51.049030394344214, 0.8038165788085022)",0.85,0.64,0.11
58,Field1 - white_grape,00003A,"(51.04881234405744, 0.8035618452012707)",0.11,0.62,0.6
59,Field1 - white_grape,00003B,"(51.048594293770655, 0.8033071115940393)",0.79,0.47,0.48
60,Field1 - white_grape,00003C,"(51.04837624348387, 0.8030523779868078)",0.98,0.03,0.99
61,Field1 - white_grape,00003D,"(51.0481581931971, 0.8027976443795765)",0.7,0.0,0.31
62,Field1 - white_grape,00003E,"(51.04794014291031, 0.802542910772345)",0.4,0.97,0.89
63,Field1 - white_grape,00003F,"(51.04772209262354, 0.8022881771651136)",0.3,0.22,0.12
64,Field1 - white_grape,000040,"(51.050302012744446, 0.8058177643459028)",0.59,0.94,0.59
65,Field1 - white_grape,000041,"(51.05008396245766, 0.8055630307386714)",0.05,0.85,0.77
66,Field1 - white_grape,000042,"(51.04986591217089, 0.8053082971314399)",0.17,0.99,0.04
67,Field1 - white_grape,000043,"(51.049647861884104, 0.8050535635242084)",0.25,0.19,0.94
68,Field1 - white_grape,000044,"(51.04942981159733, 0.804798829916977)",0.51,0.53,0.02
69,Field1 - white_grape,000045,"(51.049211761310545, 0.8045440963097457)",0.25,0.16,0.19
70,Field1 - white_grape,000046,"(51.04899371102377, 0.8042893627025142)",0.74,0.26,0.82
71,Field1 - white_grape,000047,"(51.048775660736986, 0.8040346290952828)",0.69,0.16,0.97
72,Field1 - white_grape,000048,"(51.04855761045021, 0.8037798954880513)",0.97,0.48,0.69
73,Field1 - white_grape,000049,"(51.04833956016343, 0.8035251618808199)",0.37,0.07,0.0
74,Field1 - white_grape,00004A,"(51.048121509876644, 0.8032704282735884)",0.6,0.48,0.9
75,Field1 - white_grape,00004B,"(51.04790345958987, 0.803015694666357)",0.4,0.68,0.56
76,Field1 - white_grape,00004C,"(51.047685409303085, 0.8027609610591255)",0.82,0.04,0.09
77,Field1 - white_grape,00004D,"(51.05004727913721, 0.8060358146326833)",0.08,0.52,0.85
78,Field1 - white_grape,00004E,"(51.04982922885043, 0.8057810810254519)",0.11,0.87,0.55
79,Field1 - white_grape,00004F,"(51.04961117856365, 0.8055263474182204)",0.18,0.67,0.17
80,Field1 - white_grape,000050,"(51.04939312827687, 0.8052716138109889)",0.66,0.08,0.75
81,Field1 - white_grape,000051,"(51.04917507799009, 0.8050168802037575)",0.32,0.92,0.52
82,Field1 - white_grape,000052,"(51.04895702770331, 0.8047621465965261)",0.69,0.36,0.02
83,Field1 - white_grape,000053,"(51.048738977416534, 0.8045074129892946)",0.76,0.9,0.34
84,Field1 - white_grape,000054,"(51.04852092712975, 0.8042526793820632)",0.75,0.12,0.0
85,Field1 - white_grape,000055,"(51.048302876842975, 0.8039979457748317)",0.2,0.17,0.49
86,Field1 - white_grape,000056,"(51.04808482655619, 0.8037432121676004)",0.74,0.62,0.35
87,Field1 - white_grape,000057,"(51.04786677626941, 0.8034884785603689)",0.3,1.0,0.9
88,Field1 - white_grape,000058,"(51.05022864610354, 0.8067633321339267)",0.31,0.25,0.72
89,Field1 - white_grape,000059,"(51.05001059581676, 0.8065085985266952)",0.11,0.92,0.93
90,Field1 - white_grape,00005A,"(51.04979254552998, 0.8062538649194638)",0.19,0.13,0.54
91,Field1 - white_grape,00005B,"(51.0495744952432, 0.8059991313122324)",0.39,1.0,0.32
92,Field1 - white_grape,00005C,"(51.04935644495642, 0.805744397705001)",0.12,0.05,0.75
93,Field1 - white_grape,00005D,"(51.04913839466964, 0.8054896640977695)",0.55,0.04,0.89
94,Field1 - white_grape,00005E,"(51.048920344382864, 0.8052349304905381)",0.07,0.52,0.77
95,Field1 - white_grape,00005F,"(51.04870229409608, 0.8049801968833067)",0.34,0.81,0.52
96,Field1 - white_grape,000060,"(51.048484243809305, 0.8047254632760752)",0.04,0.3,0.67
97,Field1 - white_grape,000061,"(51.04826619352252, 0.8044707296688438)",0.72,0.96,0.07
98,Field1 - white_grape,000062,"(51.04804814323575, 0.8042159960616123)",0.27,0.48,0.22
99,Field1 - white_grape,000063,"(51.04783009294896, 0.8039612624543809)",0.71,0.75,0.69
100,Field1 - white_grape,000064,"(51.05019196278309, 0.8072361160279341)",0.04,0.25,0.51
101,Field1 - white_grape,000065,"(51.04997391249631, 0.8069813824207026)",0.31,0.03,0.18
102,Field1 - white_grape,000066,"(51.04975586220953, 0.8067266488134711)",0.06,0.07,0.83
103,Field1 - white_grape,000067,"(51.049537811922754, 0.8064719152062397)",0.18,0.01,0.88
104,Field1 - white_grape,000068,"(51.04931976163597, 0.8062171815990083)",0.75,0.66,0.66
105,Field1 - white_grape,000069,"(51.049101711349195, 0.8059624479917769)",0.76,0.88,0.14
106,Field1 - white_grape,00006A,"(51.04888366106241, 0.8057077143845454)",0.08,0.23,0.88
107,Field1 - white_grape,00006B,"(51.048665610775636, 0.805452980777314)",0.3,0.03,0.34
108,Field1 - white_grape,00006C,"(51.04844756048885, 0.8051982471700826)",0.05,0.26,0.96
109,Field1 - white_grape,00006D,"(51.04822951020208, 0.8049435135628511)",0.09,0.98,0.09
110,Field1 - white_grape,00006E,"(51.048011459915294, 0.8046887799556197)",0.76,0.71,0.19
111,Field1 - white_grape,00006F,"(51.04993722917585, 0.8074541663147147)",0.06,0.28,0.49
112,Field1 - white_grape,000070,"(51.04971917888908, 0.8071994327074832)",0.95,0.23,0.52
113,Field1 - white_grape,000071,"(51.049501128602294, 0.8069446991002517)",0.79,0.61,0.33
114,Field1 - white_grape,000072,"(51.04928307831552, 0.8066899654930203)",0.49,0.83,0.28
115,Field1 - white_grape,000073,"(51.049065028028735, 0.8064352318857889)",0.27,0.13,0.08
116,Field1 - white_grape,000074,"(51.04884697774196, 0.8061804982785574)",0.27,0.83,0.07
117,Field1 - white_grape,000075,"(51.04862892745518, 0.8059257646713259)",0.24,0.36,0.25
118,Field1 - white_grape,000076,"(51.0484108771684, 0.8056710310640945)",0.41,0.78,0.09
119,Field1 - white_grape,000077,"(51.04819282688162, 0.8054162974568632)",0.93,0.96,0.16
120,Field1 - white_grape,000078,"(51.04797477659484, 0.8051615638496317)",0.14,0.86,0.88
121,Field1 - white_grape,000079,"(51.04775672630806, 0.8049068302424003)",0.85,0.7,0.03
122,Field1 - white_grape,00007A,"(51.049682495568625, 0.8076722166014952)",0.2,0.98,0.34
123,Field1 - white_grape,00007B,"(51.04946444528185, 0.8074174829942637)",0.61,0.64,0.88
124,Field1 - white_grape,00007C,"(51.049246394995066, 0.8071627493870323)",0.68,0.18,0.63
125,Field1 - white_grape,00007D,"(51.04902834470829, 0.8069080157798009)",0.28,0.14,0.99
126,Field1 - white_grape,00007E,"(51.04881029442151, 0.8066532821725695)",0.23,0.18,0.31
127,Field1 - white_grape,00007F,"(51.04859224413473, 0.806398548565338)",0.56,0.88,0.26
128,Field1 - white_grape,000080,"(51.04837419384795, 0.8061438149581065)",0.06,0.78,0.74
129,Field1 - white_grape,000081,"(51.04815614356117, 0.8058890813508751)",0.16,0.26,0.29
130,Field1 - white_grape,000082,"(51.04793809327439, 0.8056343477436437)",0.64,0.75,0.37
131,Field1 - white_grape,000083,"(51.04942776196139, 0.8078902668882758)",0.56,0.57,1.0
132,Field1 - white_grape,000084,"(51.049209711674614, 0.8076355332810443)",0.23,0.13,0.88
133,Field1 - white_grape,000085,"(51.04899166138783, 0.8073807996738128)",0.77,0.92,0.34
134,Field1 - white_grape,000086,"(51.048773611101055, 0.8071260660665814)",0.76,0.2,0.67
135,Field1 - white_grape,000087,"(51.04855556081427, 0.80687133245935)",0.85,0.64,0.31
0,Field2 - white_grape,000000,"(51.04690246722365, 0.7932605962984454)",0.27,0.59,0.84
